"Id","PSCV.1","MPS.1","MPFD.1","PSCV.2","MPS.2","MPFD.2","PD.2","PSCV.3","MPFD.3","PSCV.4","MPS.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","MPFD.5","PD.5","PSCV.All","MPS.All","MPFD.All","SR"
824,615.2591923,125.9861908,1.038454292,2294.473389,6242.522352,1.033565129,0.013016173,623.8708505,1.040657134,385.3370341,282.568185,1088.839863,1.029090548,0.006498359,759.9282904,227.0861003,1.039144474,0.022355132,5968.86117,750.1108401,1.038499433,0
825,850.7661237,212.9302397,1.038725142,2663.263254,4078.367502,1.034965941,0.018950303,565.4970026,1.041418057,366.7162747,309.3387154,1134.395413,1.03085132,0.006031411,791.8052895,230.4245749,1.038702377,0.022316219,5799.782328,665.5133337,1.039075304,0
826,1579.218174,355.697824,1.039665669,3362.853077,2020.772109,1.038301019,0.033795356,622.0805658,1.042278872,384.9850092,341.8503566,1316.072627,1.031343452,0.004183075,763.7745009,244.2044206,1.039564734,0.020331691,5393.113465,541.768681,1.040389236,0
827,2151.463611,408.9058186,1.039706273,3715.380677,1601.014517,1.03987614,0.040780118,628.2972656,1.042198477,381.5790997,378.4259128,1443.994191,1.031320716,0.003190811,677.9927733,270.9642546,1.041212489,0.017996951,5412.865179,504.9375652,1.040881517,0
828,1255.92276,370.0828195,1.039696085,3800.498342,1892.590745,1.03972031,0.036071727,644.5417759,1.040958538,154.6208604,239.8980576,370.9324408,1.029751437,0.002801688,804.0522042,322.5370745,1.039728994,0.017374354,5932.573125,533.5021254,1.04012964,0
829,1908.676602,509.7486851,1.039572787,3759.604357,1835.369908,1.038753869,0.035351849,621.0047987,1.039961207,377.2141607,272.5582155,1028.128185,1.030642166,0.002626582,911.684192,416.0816868,1.038766179,0.014669947,5637.907513,542.2259179,1.039417748,0
830,2110.145208,816.6398705,1.039719587,3320.546141,1551.573941,1.03965653,0.03788115,537.7684668,1.040304917,354.8441849,302.0164979,1071.68798,1.032976433,0.002529301,997.1995384,453.7871672,1.037830025,0.013230191,4519.070777,541.6544922,1.039789935,1
831,2620.207527,943.2029027,1.03936591,2732.745166,2093.380997,1.038006694,0.028834034,301.787179,1.039044589,301.2458658,372.7456132,1122.88075,1.035255999,0.002723863,1024.362353,331.5184559,1.034244713,0.015740036,4342.372564,595.5688848,1.038410455,1
832,2940.217272,1078.900362,1.04021889,2268.732906,2371.987809,1.038152736,0.025176275,346.3535517,1.038913941,308.4784233,310.5381692,957.943248,1.035939606,0.003793952,1010.112527,335.715861,1.031164429,0.015740036,3998.726309,617.9823826,1.038177671,1
833,3081.328456,1029.799303,1.041334546,2732.187054,1707.3196,1.039624037,0.033231127,413.5216586,1.039585032,359.5386111,308.5466917,1109.34449,1.035580125,0.004046882,1082.647811,302.3252313,1.03157574,0.015020158,4351.349068,535.6706072,1.039129869,1
834,3076.411565,839.4951761,1.040496839,3303.866982,1576.410822,1.040461994,0.03570206,455.1839494,1.040215537,353.8448984,337.1987695,1193.160643,1.035216018,0.00542827,1559.864331,394.7511551,1.030236878,0.015954054,4794.051724,517.6512716,1.039343417,1
835,2750.139846,656.1162171,1.03950797,3467.727508,1903.377745,1.040503569,0.031188167,476.8209032,1.039853892,396.6442619,340.9771202,1352.466182,1.035809688,0.009105466,1675.434244,519.1116649,1.032387119,0.015681636,5151.195577,557.8217709,1.039043583,0
836,81.40226175,45.41362693,1.033076799,909.5868787,105.5651362,1.041481463,0.099537732,4580.05794,1.040461266,2486.762196,478.9409292,11910.12197,1.043056213,0.07652109,422.333015,1583.944737,1.034995968,0.00243202,4718.435705,415.7708685,1.041644839,0
837,68.71842709,30.96383654,1.030450224,744.4218098,99.6053322,1.042661752,0.102592349,3512.402027,1.043075859,2506.938271,550.9661968,13812.38245,1.042723243,0.07500351,412.2224377,1738.282858,1.033449396,0.002237459,3478.372318,393.9116705,1.042710777,0
