"Id","PSCV.1","MPS.1","PSSD.1","MPFD.1","PD.1","PSCV.2","MPS.2","PSSD.2","MPFD.2","PD.2","PSCV.3","MPS.3","MPFD.3","PD.3","PSCV.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","PSSD.5","MPFD.5","PD.5","PSCV.All","PSSD.All","SR"
65,201.7829861,64.74802253,130.6504933,1.038992319,0.149150645,602.4006089,4717.940247,28420.90078,1.03516005,0.016042366,422.1183711,89.06881375,1.040420389,0.163892279,0,0,1.022753969,0.000433577,75.49834435,34.40426282,25.97464882,1.032099919,0.001300732,2072.158562,6263.71159,0
66,186.5895846,59.19776962,110.4568724,1.03538672,0.119667378,570.6222448,5074.003234,28953.39115,1.038539314,0.014308056,278.4723557,93.76373037,1.045439377,0.215487996,77.88762414,50.91365954,1.025924309,0.001300732,47.14045208,30.96383654,14.59649253,1.004812305,0.000867155,2054.514025,5842.807283,0
67,287.4242812,113.4531161,326.0918035,1.045391129,0.110562252,663.9537097,3345.241155,22210.85275,1.031347422,0.019510986,241.6518476,114.809731,1.049734973,0.192941969,0,0,0,0,0,82.57023077,0,1.050876961,0.000433577,1765.996067,5459.893989,0
68,462.8676283,197.0425962,912.0463915,1.048569965,0.114464449,485.70865,1234.635198,5996.729954,1.049689307,0.046826365,496.0217665,127.7258257,1.046939355,0.145682026,125.9935719,1072.842201,1.026845584,0.000867155,106.0660172,330.2809231,350.3158206,1.081809807,0.000867155,760.0316283,2461.982592,0
69,395.2056911,220.9328853,873.1393362,1.051565683,0.140045519,663.7449491,1096.678178,7279.146013,1.040591581,0.05289645,551.0909981,125.8109569,1.041964999,0.082379717,82.66670799,304.3173249,1.039798332,0.001300732,183.9341133,43.16171154,79.38911141,1.030645576,0.004769352,913.6780761,3246.996445,0
70,549.8591056,203.7432107,1120.300596,1.046270388,0.15348642,647.0064539,1717.172764,11110.21861,1.0469385,0.037287661,183.3267592,55.59291993,1.037296505,0.081946139,0,0,1.034513382,0.000433577,104.870074,28.89958077,30.30701175,1.041774138,0.004335775,1157.72473,4172.13778,0
71,546.2174253,151.9251268,829.8415163,1.043460125,0.174731715,538.1715431,1650.831211,8884.303802,1.040020711,0.039021971,170.6320448,55.0560939,1.040153786,0.160857237,0,0,0,0,85.52359741,51.60639423,44.13564484,1.058824406,0.00346862,1109.418204,2934.351316,0
72,378.7015203,139.3018367,527.5381735,1.045633923,0.189473349,744.7872548,1412.712516,10521.70277,1.040615943,0.044658478,166.920425,54.5823236,1.039965379,0.189473349,0,0,0,0,71.12785388,44.72554167,31.81231793,1.052311128,0.003902197,1465.716619,3428.517756,0
73,306.3216326,126.3384364,387.0019611,1.046670503,0.149584223,742.9467111,3016.529549,22411.20707,1.041312998,0.024713915,134.6166355,46.96360444,1.033892108,0.125303885,86.97384234,193.001475,1.025314737,0.00173431,105.4092553,30.96383654,32.63874952,1.028546723,0.009105127,1964.441372,6327.896331,0
74,246.7072262,116.1470493,286.5431636,1.045641875,0.102757857,486.4758432,7705.694766,37486.34359,1.037782754,0.010405859,133.4543388,39.88674857,1.029503894,0.067204506,204.1648173,1110.253134,1.042488187,0.006937239,110.7228261,70.05293515,77.56458953,1.045269386,0.02037814,1743.339654,8394.209446,0
75,673.5089687,172.6126374,1162.561594,1.041681186,0.083246872,410.4504753,4853.007973,19919.19429,1.03575824,0.015608788,169.8886538,47.36477279,1.026860331,0.063302309,303.2520807,2734.234269,1.029985388,0.006070084,108.8460246,57.03864626,62.08429895,1.041214714,0.024713915,1121.060852,5810.352517,0
76,567.6043158,1185.778621,6730.530626,1.039839023,0.04595921,729.3964374,721.4730297,5262.398575,1.045696496,0.057232224,124.0245974,45.73041865,1.03411977,0.087582646,0,0,1,0.000433577,130.9440168,54.55533105,71.43694183,1.029803916,0.003035042,846.2560356,4356.694134,0
77,521.9867071,3107.565039,16221.07642,1.035644174,0.026014647,509.2262955,225.1406669,1146.475478,1.045357505,0.071973858,111.3524049,38.57247159,1.030019228,0.067638083,0,0,0,0,103.7114652,34.55384657,35.83630057,1.025854304,0.009972282,1111.897113,6332.028856,0
78,454.9573068,4466.202611,20319.31511,1.053802553,0.016909521,567.6748156,255.1555492,1448.453793,1.048565997,0.079344675,103.3477753,39.38937029,1.035038105,0.084981182,0,0,1.048395645,0.000433577,127.5220786,57.45511891,73.26796191,1.044436767,0.013007324,1190.135035,6113.405521,0
79,454.1071558,2071.086027,9404.949853,1.044945256,0.029483267,497.9763692,585.1199807,2913.759235,1.044486421,0.060267267,174.3293615,42.83021701,1.031067497,0.072407435,106.7697434,114.6080306,1.042471957,0.002167887,120.5940972,37.35319964,45.04575389,1.037455629,0.009105127,742.1133272,4279.012404,0
80,559.5097521,1399.585453,7830.817099,1.046096315,0.044658478,718.8279838,299.7065688,2154.374686,1.04292024,0.091918421,711.7299152,98.25256222,1.033325402,0.089316956,71.93861799,115.0872731,1.041291752,0.00173431,99.99857954,45.87235043,45.87169883,1.043523517,0.019510986,895.1100272,3621.886798,0
81,624.9811041,993.2756421,6207.785075,1.050979351,0.060700844,458.0216699,197.3711699,904.0027282,1.046105303,0.120100956,539.5135655,107.170801,1.042086521,0.146982758,48.71947404,68.72246116,1.030387095,0.001300732,122.5651754,77.40959135,94.87720142,1.038937456,0.000867155,909.7842786,2757.319402,0
82,726.3453341,556.529143,4042.323463,1.047765193,0.092785576,709.6788819,270.2266328,1917.741346,1.044802022,0.126604618,235.4636591,73.18976555,1.041559313,0.161724392,55.18394232,51.26119709,1.021977855,0.00173431,432.8053055,155.1417227,671.4616068,1.042848721,0.013874479,890.7832632,2245.351101,0
83,693.3551519,449.2635625,3114.992056,1.048608604,0.101023548,718.9725423,302.9663959,2178.245199,1.042200428,0.121401688,288.1138105,92.83898403,1.045122882,0.170395941,47.76041351,70.98459058,1.022727385,0.002167887,228.429153,121.9201064,278.5010663,1.040864185,0.013874479,802.1360423,1961.86737,0
84,949.0760398,837.3867743,7947.437235,1.045754031,0.068938816,836.8792472,259.5064396,2171.755538,1.039900797,0.115331604,206.4992162,67.19753238,1.041803054,0.163892279,86.62747965,230.2323911,1.040613827,0.00173431,208.1529266,87.05774331,181.2132405,1.031722237,0.009972282,1328.935527,3692.828383,0
85,490.969984,1074.314064,5274.559588,1.047135606,0.05463076,674.6691024,217.5281478,1467.595202,1.041322654,0.108827942,159.6443943,69.88228926,1.044952968,0.136143322,181.6152725,977.8651425,1.036586677,0.002601465,536.1522668,430.6266897,2308.814758,1.032183794,0.015608788,770.8192056,2425.391539,0
86,509.1174413,906.6124727,4615.722224,1.043603548,0.062001576,476.9758515,214.0063783,1020.758745,1.040527335,0.125737463,253.3357455,77.81321678,1.045403335,0.15522073,120.54875,1281.543781,1.061865126,0.001300732,504.4707838,175.2323786,883.9961539,1.04113517,0.019510986,738.3494599,2029.706799,0
